cod_departamento,departamento,valor,VB_ACU,cod_municipio,municipio,clase
"13","BOLIVAR","451","Si cuenta con el servicio","13222","CLEMENCIA","Total",
"13","BOLIVAR","2957","No cuenta con el servicio","13222","CLEMENCIA","Total",
"13","BOLIVAR","11989","Si cuenta con el servicio","13244","EL CARMEN DE BOLIVAR","Cabecera municipal",
"13","BOLIVAR","514","No cuenta con el servicio","13244","EL CARMEN DE BOLIVAR","Cabecera municipal",
"13","BOLIVAR","379","Si cuenta con el servicio","13244","EL CARMEN DE BOLIVAR","Centros poblados",
"13","BOLIVAR","1154","No cuenta con el servicio","13244","EL CARMEN DE BOLIVAR","Centros poblados",
"13","BOLIVAR","167","Si cuenta con el servicio","13244","EL CARMEN DE BOLIVAR","Rural disperso",
"13","BOLIVAR","3070","No cuenta con el servicio","13244","EL CARMEN DE BOLIVAR","Rural disperso",
"13","BOLIVAR","12535","Si cuenta con el servicio","13244","EL CARMEN DE BOLIVAR","Total",
"13","BOLIVAR","4738","No cuenta con el servicio","13244","EL CARMEN DE BOLIVAR","Total",
"13","BOLIVAR","969","Si cuenta con el servicio","13248","EL GUAMO","Cabecera municipal",
"13","BOLIVAR","43","No cuenta con el servicio","13248","EL GUAMO","Cabecera municipal",
"13","BOLIVAR","398","Si cuenta con el servicio","13248","EL GUAMO","Centros poblados",
"13","BOLIVAR","431","No cuenta con el servicio","13248","EL GUAMO","Centros poblados",
"13","BOLIVAR","9","Si cuenta con el servicio","13248","EL GUAMO","Rural disperso",
"13","BOLIVAR","58","No cuenta con el servicio","13248","EL GUAMO","Rural disperso",
"13","BOLIVAR","1376","Si cuenta con el servicio","13248","EL GUAMO","Total",
"13","BOLIVAR","532","No cuenta con el servicio","13248","EL GUAMO","Total",
"13","BOLIVAR","660","Si cuenta con el servicio","13268","EL PENON","Cabecera municipal",
"13","BOLIVAR","38","No cuenta con el servicio","13268","EL PENON","Cabecera municipal",
"13","BOLIVAR","222","Si cuenta con el servicio","13268","EL PENON","Centros poblados",
"13","BOLIVAR","412","No cuenta con el servicio","13268","EL PENON","Centros poblados",
"13","BOLIVAR","38","Si cuenta con el servicio","13268","EL PENON","Rural disperso",
"13","BOLIVAR","311","No cuenta con el servicio","13268","EL PENON","Rural disperso",
"13","BOLIVAR","920","Si cuenta con el servicio","13268","EL PENON","Total",
"13","BOLIVAR","761","No cuenta con el servicio","13268","EL PENON","Total",
"13","BOLIVAR","669","Si cuenta con el servicio","13300","HATILLO DE LOBA","Cabecera municipal",
"13","BOLIVAR","37","No cuenta con el servicio","13300","HATILLO DE LOBA","Cabecera municipal",
"13","BOLIVAR","1391","Si cuenta con el servicio","13300","HATILLO DE LOBA","Centros poblados",
"13","BOLIVAR","117","No cuenta con el servicio","13300","HATILLO DE LOBA","Centros poblados",
"13","BOLIVAR","78","Si cuenta con el servicio","13300","HATILLO DE LOBA","Rural disperso",
"13","BOLIVAR","230","No cuenta con el servicio","13300","HATILLO DE LOBA","Rural disperso",
"13","BOLIVAR","2138","Si cuenta con el servicio","13300","HATILLO DE LOBA","Total",
"13","BOLIVAR","384","No cuenta con el servicio","13300","HATILLO DE LOBA","Total",
"13","BOLIVAR","20582","Si cuenta con el servicio","13430","MAGANGUE","Cabecera municipal",
"13","BOLIVAR","2436","No cuenta con el servicio","13430","MAGANGUE","Cabecera municipal",
"13","BOLIVAR","6841","Si cuenta con el servicio","13430","MAGANGUE","Centros poblados",
"13","BOLIVAR","2083","No cuenta con el servicio","13430","MAGANGUE","Centros poblados",
"13","BOLIVAR","367","Si cuenta con el servicio","13430","MAGANGUE","Rural disperso",
"13","BOLIVAR","948","No cuenta con el servicio","13430","MAGANGUE","Rural disperso",
"13","BOLIVAR","27790","Si cuenta con el servicio","13430","MAGANGUE","Total",
"13","BOLIVAR","5467","No cuenta con el servicio","13430","MAGANGUE","Total",
"13","BOLIVAR","2208","Si cuenta con el servicio","13433","MAHATES","Cabecera municipal",
"13","BOLIVAR","213","No cuenta con el servicio","13433","MAHATES","Cabecera municipal",
"13","BOLIVAR","2937","Si cuenta con el servicio","13433","MAHATES","Centros poblados",
"13","BOLIVAR","439","No cuenta con el servicio","13433","MAHATES","Centros poblados",
"13","BOLIVAR","171","Si cuenta con el servicio","13433","MAHATES","Rural disperso",
"13","BOLIVAR","487","No cuenta con el servicio","13433","MAHATES","Rural disperso",
"13","BOLIVAR","5316","Si cuenta con el servicio","13433","MAHATES","Total",
"13","BOLIVAR","1139","No cuenta con el servicio","13433","MAHATES","Total",
"13","BOLIVAR","441","Si cuenta con el servicio","13440","MARGARITA","Cabecera municipal",
"13","BOLIVAR","38","No cuenta con el servicio","13440","MARGARITA","Cabecera municipal",
"13","BOLIVAR","988","Si cuenta con el servicio","13440","MARGARITA","Centros poblados",
"13","BOLIVAR","221","No cuenta con el servicio","13440","MARGARITA","Centros poblados",
"13","BOLIVAR","281","Si cuenta con el servicio","13440","MARGARITA","Rural disperso",
"13","BOLIVAR","464","No cuenta con el servicio","13440","MARGARITA","Rural disperso",
"13","BOLIVAR","1710","Si cuenta con el servicio","13440","MARGARITA","Total",
"13","BOLIVAR","723","No cuenta con el servicio","13440","MARGARITA","Total",
"13","BOLIVAR","1086","Si cuenta con el servicio","13442","MARIA LA BAJA","Cabecera municipal",
"13","BOLIVAR","4233","No cuenta con el servicio","13442","MARIA LA BAJA","Cabecera municipal",
"13","BOLIVAR","1650","Si cuenta con el servicio","13442","MARIA LA BAJA","Centros poblados",
"13","BOLIVAR","3505","No cuenta con el servicio","13442","MARIA LA BAJA","Centros poblados",
"13","BOLIVAR","81","Si cuenta con el servicio","13442","MARIA LA BAJA","Rural disperso",
"13","BOLIVAR","859","No cuenta con el servicio","13442","MARIA LA BAJA","Rural disperso",
"13","BOLIVAR","2817","Si cuenta con el servicio","13442","MARIA LA BAJA","Total",
"13","BOLIVAR","8597","No cuenta con el servicio","13442","MARIA LA BAJA","Total",
"13","BOLIVAR","647","Si cuenta con el servicio","13458","MONTECRISTO","Cabecera municipal",
"13","BOLIVAR","279","No cuenta con el servicio","13458","MONTECRISTO","Cabecera municipal",
"13","BOLIVAR","376","Si cuenta con el servicio","13458","MONTECRISTO","Centros poblados",
"13","BOLIVAR","227","No cuenta con el servicio","13458","MONTECRISTO","Centros poblados",
"13","BOLIVAR","191","Si cuenta con el servicio","13458","MONTECRISTO","Rural disperso",
"13","BOLIVAR","2192","No cuenta con el servicio","13458","MONTECRISTO","Rural disperso",
"13","BOLIVAR","1214","Si cuenta con el servicio","13458","MONTECRISTO","Total",
"13","BOLIVAR","2698","No cuenta con el servicio","13458","MONTECRISTO","Total",
"13","BOLIVAR","5755","Si cuenta con el servicio","13468","MOMPOS","Cabecera municipal",
"13","BOLIVAR","121","No cuenta con el servicio","13468","MOMPOS","Cabecera municipal",
"13","BOLIVAR","2870","Si cuenta con el servicio","13468","MOMPOS","Centros poblados",
"13","BOLIVAR","972","No cuenta con el servicio","13468","MOMPOS","Centros poblados",
"13","BOLIVAR","622","Si cuenta con el servicio","13468","MOMPOS","Rural disperso",
"13","BOLIVAR","406","No cuenta con el servicio","13468","MOMPOS","Rural disperso",
"13","BOLIVAR","9247","Si cuenta con el servicio","13468","MOMPOS","Total",
"13","BOLIVAR","1499","No cuenta con el servicio","13468","MOMPOS","Total",
"13","BOLIVAR","1441","Si cuenta con el servicio","13473","MORALES","Cabecera municipal",
"13","BOLIVAR","133","No cuenta con el servicio","13473","MORALES","Cabecera municipal",
"13","BOLIVAR","814","Si cuenta con el servicio","13473","MORALES","Centros poblados",
"13","BOLIVAR","206","No cuenta con el servicio","13473","MORALES","Centros poblados",
"13","BOLIVAR","163","Si cuenta con el servicio","13473","MORALES","Rural disperso",
"13","BOLIVAR","2351","No cuenta con el servicio","13473","MORALES","Rural disperso",
"13","BOLIVAR","2418","Si cuenta con el servicio","13473","MORALES","Total",
"13","BOLIVAR","2690","No cuenta con el servicio","13473","MORALES","Total",
"13","BOLIVAR","36","Si cuenta con el servicio","13490","NOROSI","Cabecera municipal",
"13","BOLIVAR","425","No cuenta con el servicio","13490","NOROSI","Cabecera municipal",
"13","BOLIVAR","40","Si cuenta con el servicio","13490","NOROSI","Centros poblados",
"13","BOLIVAR","275","No cuenta con el servicio","13490","NOROSI","Centros poblados",
"13","BOLIVAR","2","Si cuenta con el servicio","13490","NOROSI","Rural disperso",
"13","BOLIVAR","1562","No cuenta con el servicio","13490","NOROSI","Rural disperso",
"13","BOLIVAR","78","Si cuenta con el servicio","13490","NOROSI","Total",
"13","BOLIVAR","2262","No cuenta con el servicio","13490","NOROSI","Total",
"13","BOLIVAR","701","Si cuenta con el servicio","13549","PINILLOS","Cabecera municipal",
"13","BOLIVAR","124","No cuenta con el servicio","13549","PINILLOS","Cabecera municipal",
"13","BOLIVAR","1453","Si cuenta con el servicio","13549","PINILLOS","Centros poblados",
"13","BOLIVAR","1020","No cuenta con el servicio","13549","PINILLOS","Centros poblados",
"13","BOLIVAR","320","Si cuenta con el servicio","13549","PINILLOS","Rural disperso",
"13","BOLIVAR","1165","No cuenta con el servicio","13549","PINILLOS","Rural disperso",
"13","BOLIVAR","2474","Si cuenta con el servicio","13549","PINILLOS","Total",
"13","BOLIVAR","2309","No cuenta con el servicio","13549","PINILLOS","Total",
"13","BOLIVAR","799","Si cuenta con el servicio","13580","REGIDOR","Cabecera municipal",
"13","BOLIVAR","37","No cuenta con el servicio","13580","REGIDOR","Cabecera municipal",
"13","BOLIVAR","413","Si cuenta con el servicio","13580","REGIDOR","Centros poblados",
"13","BOLIVAR","22","No cuenta con el servicio","13580","REGIDOR","Centros poblados",
"13","BOLIVAR","57","Si cuenta con el servicio","13580","REGIDOR","Rural disperso",
"13","BOLIVAR","98","No cuenta con el servicio","13580","REGIDOR","Rural disperso",
"13","BOLIVAR","1269","Si cuenta con el servicio","13580","REGIDOR","Total",
"13","BOLIVAR","157","No cuenta con el servicio","13580","REGIDOR","Total",
"13","BOLIVAR","1138","Si cuenta con el servicio","13600","RIO VIEJO","Cabecera municipal",
"13","BOLIVAR","50","No cuenta con el servicio","13600","RIO VIEJO","Cabecera municipal",
"13","BOLIVAR","314","Si cuenta con el servicio","13600","RIO VIEJO","Centros poblados",
"13","BOLIVAR","54","No cuenta con el servicio","13600","RIO VIEJO","Centros poblados",
"13","BOLIVAR","96","Si cuenta con el servicio","13600","RIO VIEJO","Rural disperso",
"13","BOLIVAR","763","No cuenta con el servicio","13600","RIO VIEJO","Rural disperso",
"13","BOLIVAR","1548","Si cuenta con el servicio","13600","RIO VIEJO","Total",
"13","BOLIVAR","867","No cuenta con el servicio","13600","RIO VIEJO","Total",
"13","BOLIVAR","1292","Si cuenta con el servicio","13620","SAN CRISTOBAL","Cabecera municipal",
